i,similitud,distancia,texto_origen,texto_destino,texto_origen_n,texto_destino_n
0,completa,0,Capítulo I,Capítulo I,10,10
1,completa,0,BASES DE LA INSTITUCIONALIDAD,BASES DE LA INSTITUCIONALIDAD,29,29
2,parecido,9,Artículo 1°.- Las personas nacen libres e iguales en dignidad y derechos.,Artículo 1º.- Los hombres nacen libres e iguales en dignidad y derechos.,73,72
3,completa,0,La familia es el núcleo fundamental de la sociedad.,La familia es el núcleo fundamental de la sociedad.,51,51
4,completa,0,El Estado reconoce y ampara a los grupos intermedios a través de los cuales se organiza y estructura la sociedad y les garantiza la adecuada autonomía para cumplir sus propios fines específicos.,El Estado reconoce y ampara a los grupos intermedios a través de los cuales se organiza y estructura la sociedad y les garantiza la adecuada autonomía para cumplir sus propios fines específicos.,194,194
5,completa,0,"El Estado está al servicio de la persona humana y su finalidad es promover el bien común, para lo cual debe contribuir a crear las condiciones sociales que permitan a todos y a cada uno de los integrantes de la comunidad nacional su mayor realización espiritual y material posible, con pleno respeto a los derechos y garantías que esta Constitución establece.","El Estado está al servicio de la persona humana y su finalidad es promover el bien común, para lo cual debe contribuir a crear las condiciones sociales que permitan a todos y a cada uno de los integrantes de la comunidad nacional su mayor realización espiritual y material posible, con pleno respeto a los derechos y garantías que esta Constitución establece.",359,359
6,completa,0,"Es deber del Estado resguardar la seguridad nacional, dar protección a la población y a la familia, propender al fortalecimiento de ésta, promover la integración armónica de todos los sectores de la Nación y asegurar el derecho de las personas a participar con igualdad de oportunidades en la vida nacional.","Es deber del Estado resguardar la seguridad nacional, dar protección a la población y a la familia, propender al fortalecimiento de ésta, promover la integración armónica de todos los sectores de la Nación y asegurar el derecho de las personas a participar con igualdad de oportunidades en la vida nacional.",307,307
7,completa,0,"Artículo 2º.- Son emblemas nacionales la bandera nacional, el escudo de armas de la República y el himno nacional.","Artículo 2º.- Son emblemas nacionales la bandera nacional, el escudo de armas de la República y el himno nacional.",114,114
8,no_hay_parecido,28,Artículo 3º.- El Estado de Chile es unitario.,Artículo 60.- Sólo son materias de ley:,45,39
9,no_hay_parecido,83,"La administración del Estado será funcional y territorialmente descentralizada, o desconcentrada en su caso, de conformidad a la ley.",Los municipios y los demás servicios públicos existentes en la respectiva comuna deberán coordinar su acción en conformidad a la ley.,133,133
10,no_hay_parecido,127,"Los órganos del Estado promoverán el fortalecimiento de la regionalización del país y el desarrollo equitativo y solidario entre las regiones, provincias y comunas del territorio nacional.",6) Otorgar su acuerdo para que el Presidente de la República pueda ausentarse del país por más de treinta días o en los últimos o noventa días de su período;,188,157
11,completa,0,Artículo 4º.- Chile es una república democrática.,Artículo 4º.- Chile es una república democrática.,49,49
12,completa,0,"Artículo 5º.- La soberanía reside esencialmente en la Nación. Su ejercicio se realiza por el pueblo a través del plebiscito y de elecciones periódicas y, también, por las autoridades que esta Constitución establece. Ningún sector del pueblo ni individuo alguno puede atribuirse su ejercicio.","Artículo 5º.- La soberanía reside esencialmente en la Nación. Su ejercicio se realiza por el pueblo a través del plebiscito y de elecciones periódicas y, también, por las autoridades que esta Constitución establece. Ningún sector del pueblo ni individuo alguno puede atribuirse su ejercicio.",291,291
13,no_hay_parecido,201,"El ejercicio de la soberanía reconoce como limitación el respeto a los derechos esenciales que emanan de la naturaleza humana. Es deber de los órganos del Estado respetar y promover tales derechos, garantizados por esta Constitución, así como por los tratados internacionales ratificados por Chile y que se encuentren vigentes.",El ejercicio de la soberanía reconoce como limitación el respeto a los derechos esenciales que emanan de la naturaleza humana.,327,126
14,no_hay_parecido,53,"Artículo 6º.- Los órganos del Estado deben someter su acción a la Constitución y a las normas dictadas conforme a ella, y garantizar el orden institucional de la República.",Artículo 6º.- Los órganos del Estado deben someter su acción a la Constitución y a las normas dictadas conforme a ella.,172,119
15,completa,0,"Los preceptos de esta Constitución obligan tanto a los titulares o integrantes de dichos órganos como a toda persona, institución o grupo.","Los preceptos de esta Constitución obligan tanto a los titulares o integrantes de dichos órganos como a toda persona, institución o grupo.",138,138
16,completa,0,La infracción de esta norma generará las responsabilidades y sanciones que determine la ley.,La infracción de esta norma generará las responsabilidades y sanciones que determine la ley.,92,92
17,completa,0,"Artículo 7º.- Los órganos del Estado actúan válidamente previa investidura regular de sus integrantes, dentro de su competencia y en la forma que prescriba la ley.","Artículo 7º.- Los órganos del Estado actúan válidamente previa investidura regular de sus integrantes, dentro de su competencia y en la forma que prescriba la ley.",163,163
18,completa,0,"Ninguna magistratura, ninguna persona ni grupo de personas pueden atribuirse, ni aun a pretexto de circunstancias extraordinarias, otra autoridad o derechos que los que expresamente se les hayan conferido en virtud de la Constitución o las leyes.","Ninguna magistratura, ninguna persona ni grupo de personas pueden atribuirse, ni aun a pretexto de circunstancias extraordinarias, otra autoridad o derechos que los que expresamente se les hayan conferido en virtud de la Constitución o las leyes.",246,246
19,completa,0,Todo acto en contravención a este artículo es nulo y originará las responsabilidades y sanciones que la ley señale.,Todo acto en contravención a este artículo es nulo y originará las responsabilidades y sanciones que la ley señale.,115,115
20,no_hay_parecido,101,Artículo 8º.- El ejercicio de las funciones públicas obliga a sus titulares a dar estricto cumplimiento al principio de probidad en todas sus actuaciones.,Artículo 111.- La Ley de Presupuestos de la Nación podrá solventar los gastos de funcionamiento de las municipalidades.,154,119
21,no_hay_parecido,274,"Son públicos los actos y resoluciones de los órganos del Estado, así como sus fundamentos y los procedimientos que utilicen. Sin embargo, sólo una ley de quórum calificado podrá establecer la reserva o secreto de aquéllos o de éstos, cuando la publicidad afectare el debido cumplimiento de las funciones de dichos órganos, los derechos de las personas, la seguridad de la Nación o el interés nacional.","3º.- Los recursos a que se refiere el artículo 21 no serán procedentes en los estados de asamblea y de sitio, respecto de las medidas adoptadas en virtud de dichos estados por la autoridad competente y con sujeción a las normas establecidas por la Constitución y la ley.",401,270
